County,2022 Estimate,2020 Census,Change,Area,Density
Mecklenburg County,"1,145,392","1,115,482",+2.68%,"523.84 sq mi (1,356.7 km2)","2,187/sq mi (844/km2)"
York County,"294,248","282,090",+4.31%,"680.60 sq mi (1,762.7 km2)",432/sq mi (167/km2)
Union County,"249,070","238,267",+4.53%,"631.52 sq mi (1,635.6 km2)",394/sq mi (152/km2)
Cabarrus County,"235,797","225,804",+4.43%,361.75 sq mi (936.9 km2),652/sq mi (252/km2)
Gaston County,"234,215","227,943",+2.75%,356.03 sq mi (922.1 km2),658/sq mi (254/km2)
Iredell County,"195,897","186,693",+4.93%,"573.83 sq mi (1,486.2 km2)",341/sq mi (132/km2)
Rowan County,"149,645","146,875",+1.89%,"511.37 sq mi (1,324.4 km2)",293/sq mi (113/km2)
Lancaster County,"104,577","96,016",+8.92%,"549.16 sq mi (1,422.3 km2)",190/sq mi (74/km2)
Lincoln County,"93,095","86,810",+7.24%,297.94 sq mi (771.7 km2),312/sq mi (121/km2)
Chester County,"31,931","32,294",−1.12%,"580.66 sq mi (1,503.9 km2)",55/sq mi (21/km2)
Anson County,"22,202","22,055",+0.67%,"531.45 sq mi (1,376.4 km2)",42/sq mi (16/km2)
Total,"2,756,069","2,660,329",+3.60%,"5,598.15 sq mi (14,499.1 km2)",492/sq mi (190/km2)
